ESTUDIANTE,PERIODO,PROMEDIO_GENERAL,PEOR_PROMEDIO,ASISTENCIA_PROMEDIO,MAX_INTENTOS,MATERIAS_REPROBADAS,TOTAL_MATERIAS,TASA_REPROBACION,PUNTOS_DESERTOR,CATEGORIA
Estudiante 291,2024 - 2025 CI,7.79,7.79,87.00,1,0,1,0.00,0,BAJO
Estudiante 292,2024 - 2025 CI,7.32,7.32,78.00,1,0,1,0.00,0,MEDIO
Estudiante 293,2024 - 2025 CI,4.22,4.22,82.00,2,1,1,1.00,1,ALTO
Estudiante 294,2024 - 2025 CI,1.52,1.52,67.00,1,1,1,1.00,2,DESERTOR
Estudiante 295,2024 - 2025 CI,0.00,0.00,0.00,1,1,1,1.00,3,DESERTOR
Estudiante 296,2024 - 2025 CI,7.57,6.81,98.80,1,1,5,0.20,0,BAJO
Estudiante 297,2024 - 2025 CI,8.77,8.07,98.71,1,0,7,0.00,0,BAJO
Estudiante 298,2024 - 2025 CI,0.85,0.00,19.29,1,7,7,1.00,3,DESERTOR
Estudiante 299,2024 - 2025 CI,4.01,4.01,82.00,1,1,1,1.00,1,ALTO
Estudiante 300,2024 - 2025 CI,3.22,3.22,89.00,1,1,1,1.00,2,DESERTOR
Estudiante 301,2024 - 2025 CI,0.00,0.00,0.00,2,1,1,1.00,3,DESERTOR
Estudiante 302,2024 - 2025 CI,5.55,5.55,96.00,1,1,1,1.00,1,ALTO
Estudiante 303,2024 - 2025 CI,5.71,5.71,96.00,2,1,1,1.00,1,ALTO
Estudiante 304,2024 - 2025 CI,0.00,0.00,0.00,2,1,1,1.00,3,DESERTOR
Estudiante 305,2024 - 2025 CI,7.19,7.19,100.00,1,0,1,0.00,0,MEDIO
Estudiante 306,2024 - 2025 CI,7.83,7.83,96.00,1,0,1,0.00,0,BAJO
Estudiante 307,2024 - 2025 CI,0.00,0.00,0.00,1,1,1,1.00,3,DESERTOR
Estudiante 308,2024 - 2025 CI,5.06,5.06,67.00,2,1,1,1.00,1,ALTO
Estudiante 309,2024 - 2025 CI,7.51,7.51,100.00,1,0,1,0.00,0,BAJO
Estudiante 310,2024 - 2025 CI,7.49,7.49,92.00,1,0,1,0.00,0,MEDIO
Estudiante 311,2024 - 2025 CI,0.00,0.00,0.00,2,1,1,1.00,3,DESERTOR
Estudiante 312,2024 - 2025 CI,6.70,6.70,86.00,1,1,1,1.00,1,ALTO
